species,egg_id,clutch,cort,temp,egg_date,egg_mass,egg_length,egg_width,hatch_date,hatch_mass,hatch_svl,hatch_tl,death_date,egg_death,egg_time,hatch_death,death_age,egg_ox
delicata,EG1637,CL445_22,B,23,2/12/2022,0.15,7.44,5.32,20/1/2023,0.101,18,24,NA,hatched,49,alive,NA,0
delicata,EG2151,CL581_22,B,23,2/1/2023,0.124,7.2,4.63,24/2/2023,0.101,18,27,NA,hatched,53,alive,NA,0
delicata,EG2159,CL583_22,B,28,2/1/2023,0.148,8.03,5,1/2/2023,0.101,18,23,NA,hatched,30,alive,NA,0
delicata,EG2191,CL592_22,A,28,4/1/2023,0.116,7.49,4.83,3/2/2023,0.101,18,24,NA,hatched,30,alive,NA,0
delicata,EG2564,CL703_23,A,28,1/2/2023,0.142,6.96,5.91,6/3/2023,0.101,19,26,NA,hatched,33,alive,NA,0
delicata,EG1223_22,CL325_22,A,23,31/10/2022,0.13,6.9,5.26,19/12/2022,0.1,18,24,NA,hatched,49,alive,NA,0
delicata,EG1370,CL369_22,A,28,11/11/2022,0.166,9.05,5.31,12/12/2022,0.1,18,26,11/1/2023,hatched,31,died,30,0
delicata,EG1404,CL378_22,B,28,14/11/2022,0.143,7.75,5.54,14/12/2022,0.1,18,23,NA,hatched,30,alive,NA,0
delicata,EG1532,CL414_22,B,28,25/11/2022,0.125,8.2,5.05,28/12/2022,0.1,18,25,NA,hatched,33,alive,NA,0
delicata,EG1545,CL417_22,B,28,25/11/2022,0.131,7.77,4.59,26/12/2022,0.1,18,24,NA,hatched,31,alive,NA,0
delicata,EG1843,CL502_22,B,28,12/12/2022,0.172,7.35,5.5,13/1/2023,0.1,19,19,NA,hatched,32,alive,NA,0
delicata,EG1868,CL509_22,B,23,14/12/2022,0.097,7.68,4.35,1/2/2023,0.1,19,25,NA,hatched,49,alive,NA,0
delicata,EG2210,CL596_22,B,23,4/1/2023,0.133,8.59,4.58,24/2/2023,0.1,17,23,NA,hatched,51,alive,NA,0
delicata,EG2212,CL596_22,B,28,4/1/2023,0.132,7.81,4.7,3/2/2023,0.1,18,23,NA,hatched,30,alive,NA,0
delicata,EG2213,CL596_22,A,28,4/1/2023,0.126,7.33,4.86,3/2/2023,0.1,18,22,NA,hatched,30,alive,NA,0
delicata,EG2351,CL634_23,A,28,13/1/2023,0.14,7.21,5.22,13/2/2023,0.1,19,26,NA,hatched,31,alive,NA,0
delicata,EG2374,CL640_23,B,28,16/1/2023,0.126,7.68,4.97,13/2/2023,0.1,17,25,NA,hatched,28,alive,NA,0
delicata,EG2380,CL641_23,A,28,16/1/2023,0.092,7.75,3.72,15/2/2023,0.1,17,26,NA,hatched,30,alive,NA,0
delicata,EG2381,CL641_23,A,23,16/1/2023,0.088,7.5,3.83,6/3/2023,0.1,18,25,NA,hatched,49,alive,NA,0
delicata,EG2384,CL642_23,B,28,16/1/2023,0.127,7.67,4.69,15/2/2023,0.1,17,25,NA,hatched,30,alive,NA,0
delicata,EG2578,CL705_23,A,23,1/2/2023,0.159,7.24,5.67,20/3/2023,0.1,18,25,NA,hatched,47,alive,NA,0
delicata,EG2581,CL707_23,B,23,3/2/2023,0.119,7.85,4.53,22/3/2023,0.1,18,27,NA,hatched,47,alive,NA,0
delicata,EG1190_22,CL317_22,B,23,24/10/2022,0.13,7.18,5.13,16/12/2022,0.099,17,23,NA,hatched,53,alive,NA,0
delicata,EG1256_22,CL334_22,A,28,2/11/2022,0.155,7.63,5.65,2/12/2022,0.099,18,22,NA,hatched,30,alive,NA,0
delicata,EG1384,CL373_22,B,23,11/11/2022,0.13,8.19,4.95,4/1/2023,0.099,19,24,NA,hatched,54,alive,NA,0
delicata,EG1395,CL376_22,B,23,14/11/2022,0.131,7.21,5.14,30/12/2022,0.099,18,23,NA,hatched,46,alive,NA,0
delicata,EG1488,CL402_22,B,28,21/11/2022,0.157,10.15,4.57,26/12/2022,0.099,18,24,9/1/2023,hatched,35,died,14,0
delicata,EG2048,CL553_22,A,28,26/12/2022,0.117,8.1,4.55,27/1/2023,0.099,18,24,NA,hatched,32,alive,NA,0
delicata,EG2138,CL577_22,A,23,30/12/2022,0.119,7.64,4.68,20/2/2023,0.099,18,22,NA,hatched,52,alive,NA,0
delicata,EG2150,CL581_22,B,28,2/1/2023,0.125,6.87,4.89,6/2/2023,0.099,19,26,NA,hatched,35,alive,NA,0
delicata,EG2225,CL600_22,A,23,6/1/2023,0.142,7.42,5.5,22/2/2023,0.099,18,24,NA,hatched,47,alive,NA,0
guichenoti,EG2290,CL617_23,B,28,9/1/2023,0.136,7.4,5.29,13/2/2023,0.099,19,24,NA,hatched,35,alive,NA,0
delicata,EG2328,CL627_23,B,23,11/1/2023,0.161,7.42,5.72,6/3/2023,0.099,18,26,NA,hatched,54,alive,NA,0
delicata,EG2335,CL630_23,B,23,13/1/2023,0.124,7.82,4.66,1/3/2023,0.099,17,25,NA,hatched,47,alive,NA,0
delicata,EG2358,CL635_23,B,28,16/1/2023,0.155,8.81,4.98,15/2/2023,0.099,18,27,24/2/2023,hatched,30,died,9,0
delicata,EG2378,CL640_23,B,23,16/1/2023,0.108,7.32,4.63,1/3/2023,0.099,17,27,NA,hatched,44,alive,NA,0
delicata,EG2414,CL652_23,B,28,23/1/2023,0.16,7.32,5.53,20/2/2023,0.099,17,26,NA,hatched,28,alive,NA,0
delicata,EG2458,CL669_23,B,28,25/1/2023,0.129,6.87,5.51,27/2/2023,0.099,18,26,NA,hatched,33,alive,NA,0
delicata,EG2481,CL677_23,B,28,27/1/2023,0.159,7.01,5.41,27/2/2023,0.099,19,26,NA,hatched,31,alive,NA,0
delicata,EG2566,CL703_23,B,28,1/2/2023,0.143,7.36,5.66,6/3/2023,0.099,18,26,NA,hatched,33,alive,NA,0
delicata,EG2568,CL703_23,A,28,1/2/2023,0.146,7.14,5.69,6/3/2023,0.099,18,26,NA,hatched,33,alive,NA,0
delicata,EG2576,CL705_23,A,28,1/2/2023,0.142,7.38,5.49,6/3/2023,0.099,18,26,NA,hatched,33,alive,NA,0
delicata,EG1171_22,CL313_22,B,23,17/10/2022,0.152,8.04,5.59,2/12/2022,0.098,17,25,NA,hatched,46,alive,NA,0
delicata,EG1220_22,CL325_22,A,28,31/10/2022,0.133,7.43,5.08,30/11/2022,0.098,17,23,NA,hatched,30,alive,NA,0
delicata,EG1636,CL445_22,A,23,2/12/2022,0.155,7.4,5.48,20/1/2023,0.098,18,24,NA,hatched,49,alive,NA,0
delicata,EG2161,CL583_22,A,23,2/1/2023,0.138,7.77,5.17,20/2/2023,0.098,18,25,NA,hatched,49,alive,NA,0
delicata,EG2233,CL601_22,B,28,6/1/2023,0.157,7.9,5.1,13/2/2023,0.098,19,25,15/3/2023,hatched,38,died,30,0
delicata,EG2295,CL618_23,A,28,9/1/2023,0.127,7.21,5.07,6/2/2023,0.098,18,25,NA,hatched,28,alive,NA,0
delicata,EG1329_22,CL357_22,A,28,7/11/2022,0.152,7.87,5.54,7/12/2022,0.097,18,23,NA,hatched,30,alive,NA,0
delicata,EG1638,CL446_22,B,28,2/12/2022,0.133,7.66,4.83,6/1/2023,0.097,18,25,NA,hatched,35,alive,NA,0
delicata,EG1831,CL499_22,B,23,12/12/2022,0.12,7.62,4.76,30/1/2023,0.097,18,25,NA,hatched,49,alive,NA,0
delicata,EG2331,CL628_23,A,28,11/1/2023,0.105,7.78,3.99,8/2/2023,0.097,18,25,NA,hatched,28,alive,NA,0
delicata,EG2475,CL676_23,A,23,27/1/2023,0.122,7.62,4.91,13/3/2023,0.097,17,24,NA,hatched,45,alive,NA,0
delicata,EG2484,CL677_23,A,28,27/1/2023,0.171,7.2,5.7,27/2/2023,0.097,17,26,NA,hatched,31,alive,NA,0
delicata,EG2491,CL679_23,B,23,27/1/2023,0.155,7.21,5.51,13/3/2023,0.097,18,25,NA,hatched,45,alive,NA,0
delicata,EG2579,CL705_23,B,23,1/2/2023,0.138,7.38,5.23,20/3/2023,0.097,18,25,NA,hatched,47,alive,NA,0
delicata,EG1222_22,CL325_22,A,28,31/10/2022,0.125,7.4,4.98,30/11/2022,0.096,17,25,NA,hatched,30,alive,NA,0
delicata,EG1393,CL375_22,A,28,14/11/2022,0.116,7.94,4.74,16/12/2022,0.096,18,25,NA,hatched,32,alive,NA,0
delicata,EG1403,CL378_22,A,23,14/11/2022,0.119,6.99,5.03,30/12/2022,0.096,18,24,NA,hatched,46,alive,NA,0
delicata,EG1505,CL406_22,B,23,23/11/2022,0.113,8.31,4.26,18/1/2023,0.096,18,24,NA,hatched,56,alive,NA,0
delicata,EG1506,CL406_22,B,28,23/11/2022,0.108,7.96,4.41,28/12/2022,0.096,18,24,NA,hatched,35,alive,NA,0
delicata,EG1764,CL479_22,A,23,7/12/2022,0.109,6.72,4.8,27/1/2023,0.096,19,26,NA,hatched,51,alive,NA,0
delicata,EG1830,CL499_22,A,28,12/12/2022,0.121,7.7,4.41,13/1/2023,0.096,17,24,NA,hatched,32,alive,NA,0
delicata,EG2135,CL577_22,A,23,30/12/2022,0.098,7.34,4.47,20/2/2023,0.096,18,24,14/8/2023,hatched,52,died,175,0
delicata,EG2232,CL601_22,B,28,6/1/2023,0.142,7.85,5.5,10/2/2023,0.096,18,25,NA,hatched,35,alive,NA,0
delicata,EG2262,CL609_22,B,28,6/1/2023,0.152,6.77,4.98,6/2/2023,0.096,18,24,NA,hatched,31,alive,NA,0
delicata,EG2300,CL620_23,A,23,9/1/2023,0.116,7.41,4.53,24/2/2023,0.096,18,25,NA,hatched,46,alive,NA,0
delicata,EG2332,CL628_23,A,23,11/1/2023,0.099,7.72,4.31,27/2/2023,0.096,18,24,NA,hatched,47,alive,NA,0
delicata,EG1166_22,CL312_22,A,28,17/10/2022,0.134,7.64,4.96,21/11/2022,0.095,19,26,NA,hatched,35,alive,NA,0
delicata,EG1325_22,CL357_22,A,28,7/11/2022,0.153,7.45,6,9/12/2022,0.095,16,24,NA,hatched,32,alive,NA,0
delicata,EG1397,CL376_22,B,28,14/11/2022,0.144,7.18,5.61,14/12/2022,0.095,17,22,14/3/2023,hatched,30,died,90,0
delicata,EG1619,CL440_22,B,23,30/11/2022,0.153,7.07,5.52,23/1/2023,0.095,18,24,NA,hatched,54,alive,NA,0
delicata,EG1634,CL445_22,A,28,2/12/2022,0.155,7.19,5.33,2/1/2023,0.095,18,27,NA,hatched,31,alive,NA,0
delicata,EG1543,CL417_22,B,28,25/11/2022,0.131,8.31,4.67,26/12/2022,0.095,18,23,NA,hatched,31,alive,NA,0
delicata,EG1832,CL499_22,A,23,12/12/2022,0.112,7.41,4.4,30/1/2023,0.095,18,25,NA,hatched,49,alive,NA,0
delicata,EG2078,CL561_22,A,28,26/12/2022,0.192,8.03,6.34,27/1/2023,0.095,18,25,NA,hatched,32,alive,NA,0
delicata,EG2162,CL583_22,B,23,2/1/2023,0.148,7.76,5.29,20/2/2023,0.095,18,22,NA,hatched,49,alive,NA,0
delicata,EG2258,CL607_22,A,23,6/1/2023,0.103,7.19,4.49,22/2/2023,0.095,18,24,NA,hatched,47,alive,NA,0
delicata,EG2266,CL609_22,A,28,6/1/2023,0.159,7.44,5.38,6/2/2023,0.095,19,28,NA,hatched,31,alive,NA,0
delicata,EG2296,CL618_23,A,23,9/1/2023,0.129,7.43,4.67,27/2/2023,0.095,17,23,NA,hatched,49,alive,NA,0
delicata,EG2352,CL634_23,B,23,13/1/2023,0.141,6.99,5.21,3/3/2023,0.095,17,24,NA,hatched,49,alive,NA,0
delicata,EG2452,CL667_23,B,28,25/1/2023,0.156,8.21,5.7,27/2/2023,0.095,18,27,27/2/2023,hatched,33,died,0,0
delicata,EG1172_22,CL313_22,B,28,17/10/2022,0.138,7.96,5.72,16/11/2022,0.094,16,22,NA,hatched,30,alive,NA,0
delicata,EG1327_22,CL357_22,B,23,7/11/2022,0.152,7.77,5.45,26/12/2022,0.094,18,23,NA,hatched,49,alive,NA,0
delicata,EG1369,CL369_22,B,28,11/11/2022,0.146,7.87,5.36,12/12/2022,0.094,17,25,NA,hatched,31,alive,NA,0
delicata,EG1765,CL479_22,B,23,7/12/2022,0.113,7.58,4.5,27/1/2023,0.094,18,25,NA,hatched,51,alive,NA,0
delicata,EG2197,CL593_22,A,23,4/1/2023,0.095,7.6,4.44,22/2/2023,0.094,18,25,NA,hatched,49,alive,NA,0
delicata,EG2224,CL600_22,B,28,6/1/2023,0.142,7.96,5.57,6/2/2023,0.094,18,24,NA,hatched,31,alive,NA,0
delicata,EG2228,CL600_22,B,23,6/1/2023,0.146,8.15,5.31,24/2/2023,0.094,17,24,NA,hatched,49,alive,NA,0
delicata,EG2255,CL607_22,B,28,6/1/2023,0.119,8.24,4.59,6/2/2023,0.094,18,25,NA,hatched,31,alive,NA,0
delicata,EG2375,CL640_23,A,28,16/1/2023,0.11,7.95,5.02,13/2/2023,0.094,17,26,NA,hatched,28,alive,NA,0
delicata,EG2382,CL642_23,B,23,16/1/2023,0.105,8.06,3.8,6/3/2023,0.094,17,23,NA,hatched,49,alive,NA,0
delicata,EG1382,CL373_22,B,28,11/11/2022,0.134,7.59,5.31,16/12/2022,0.093,19,24,NA,hatched,35,alive,NA,0
delicata,EG1899,CL517_22,A,28,16/12/2022,0.141,7.84,5.27,20/1/2023,0.093,18,23,NA,hatched,35,alive,NA,0
delicata,EG1956,CL529_22,A,23,19/12/2022,0.123,7.7,4.52,17/2/2023,0.093,17,24,NA,hatched,60,alive,NA,0
delicata,EG2253,CL606_22,A,23,6/1/2023,0.137,7.48,5.08,24/2/2023,0.093,18,24,NA,hatched,49,alive,NA,0
delicata,EG2476,CL676_23,B,23,27/1/2023,0.126,7.47,5.04,13/3/2023,0.093,18,24,NA,hatched,45,alive,NA,0
delicata,EG1320_22,CL356_22,A,23,7/11/2022,0.17,8.35,5.59,28/12/2022,0.092,18,24,NA,hatched,51,alive,NA,0
delicata,EG1396,CL376_22,A,23,14/11/2022,0.141,7.24,5.17,2/1/2023,0.092,17,22,16/1/2023,hatched,49,died,14,0
delicata,EG1618,CL440_22,A,28,30/11/2022,0.141,7.55,5.33,2/1/2023,0.092,17,24,NA,hatched,33,alive,NA,0
delicata,EG2119,CL573_22,B,23,30/12/2022,0.114,7.53,4.87,20/2/2023,0.092,17,23,NA,hatched,52,alive,NA,0
delicata,EG2251,CL606_22,B,28,6/1/2023,0.166,7.93,5.27,8/2/2023,0.092,17,28,NA,hatched,33,alive,NA,0
delicata,EG2473,CL675_23,B,23,27/1/2023,0.134,7.18,5.34,17/3/2023,0.092,18,24,NA,hatched,49,alive,NA,0
delicata,EG1328_22,CL357_22,A,23,7/11/2022,0.156,8.65,5.24,26/12/2022,0.091,17,23,NA,hatched,49,alive,NA,0
delicata,EG1688,CL457_22,B,28,5/12/2022,0.149,7.43,5.38,6/1/2023,0.091,18,23,NA,hatched,32,alive,NA,0
delicata,EG1738,CL470_22,A,28,7/12/2022,0.108,7.57,3.98,6/1/2023,0.091,18,24,NA,hatched,30,alive,NA,0
delicata,EG1829,CL499_22,A,28,12/12/2022,0.126,7.29,4.79,13/1/2023,0.091,17,26,8/2/2023,hatched,32,died,26,0
delicata,EG2109,CL570_22,A,28,28/12/2022,0.111,8,4.64,30/1/2023,0.091,18,25,NA,hatched,33,alive,NA,0
delicata,EG2160,CL583_22,A,28,2/1/2023,0.136,7.17,5.35,1/2/2023,0.091,18,23,NA,hatched,30,alive,NA,0
delicata,EG2229,CL600_22,A,28,6/1/2023,0.122,7.39,5.14,6/2/2023,0.091,18,24,NA,hatched,31,alive,NA,0
delicata,EG2256,CL607_22,B,23,6/1/2023,0.114,7.76,4.61,24/2/2023,0.091,18,22,NA,hatched,49,alive,NA,0
delicata,EG2301,CL620_23,B,23,9/1/2023,0.118,7.89,4.4,27/2/2023,0.091,18,24,NA,hatched,49,alive,NA,0
delicata,EG2377,CL640_23,B,28,16/1/2023,0.105,7.85,4.71,15/2/2023,0.091,16,24,NA,hatched,30,alive,NA,0
delicata,EG2474,CL675_23,A,23,27/1/2023,0.127,7.07,5.28,15/3/2023,0.091,17,23,NA,hatched,47,alive,NA,0
delicata,EG2477,CL676_23,A,28,27/1/2023,0.126,7.21,5.22,24/2/2023,0.091,17,25,NA,hatched,28,alive,NA,0
delicata,EG1635,CL445_22,A,28,2/12/2022,0.142,7.35,5.51,4/1/2023,0.09,18,25,NA,hatched,33,alive,NA,0
delicata,EG2231,CL601_22,A,23,6/1/2023,0.149,7.67,5.36,27/2/2023,0.09,17,24,NA,hatched,52,alive,NA,0
delicata,EG2257,CL607_22,B,23,6/1/2023,0.108,7.36,4.72,24/2/2023,0.09,18,24,NA,hatched,49,alive,NA,0
delicata,EG1383,CL373_22,A,28,11/11/2022,0.135,7.3,4.96,12/12/2022,0.089,18,22,NA,hatched,31,alive,NA,0
delicata,EG1640,CL446_22,B,28,2/12/2022,0.131,8.31,4.76,4/1/2023,0.089,18,24,6/1/2023,hatched,33,died,2,0
delicata,EG2015,CL545_22,B,28,23/12/2022,0.161,7.53,5.67,30/1/2023,0.089,18,26,NA,hatched,38,alive,NA,0
delicata,EG2480,CL676_23,B,28,27/1/2023,0.126,7.33,5.08,27/2/2023,0.089,18,24,20/3/2023,hatched,31,died,21,0
delicata,EG2573,CL704_23,B,28,1/2/2023,0.113,7.32,5.07,3/3/2023,0.089,18,26,NA,hatched,30,alive,NA,0
delicata,EG2605,CL714_23,A,28,3/2/2023,0.139,7.42,5.2,6/3/2023,0.089,18,24,NA,hatched,31,alive,NA,0
delicata,EG1766,CL479_22,B,28,7/12/2022,0.128,7.19,4.87,9/1/2023,0.088,18,25,NA,hatched,33,alive,NA,0
delicata,EG2196,CL593_22,A,28,4/1/2023,0.093,7.49,3.77,1/2/2023,0.088,18,25,NA,hatched,28,alive,NA,0
delicata,EG2202,CL594_22,A,23,4/1/2023,0.105,7.16,4.45,22/2/2023,0.088,17,25,NA,hatched,49,alive,NA,0
delicata,EG2471,CL675_23,B,28,27/1/2023,0.131,7.64,5.2,24/2/2023,0.088,17,25,NA,hatched,28,alive,NA,0
delicata,EG2200,CL594_22,A,28,4/1/2023,0.102,8.29,4,3/2/2023,0.087,18,23,NA,hatched,30,alive,NA,0
delicata,EG2603,CL714_23,B,28,3/2/2023,0.136,7.34,5.07,6/3/2023,0.087,18,25,NA,hatched,31,alive,NA,0
delicata,EG2259,CL607_22,A,28,6/1/2023,0.105,7.86,4.58,6/2/2023,0.086,18,25,NA,hatched,31,alive,NA,0
delicata,EG2571,CL704_23,A,23,1/2/2023,0.125,8.03,4.72,17/3/2023,0.086,18,25,NA,hatched,44,alive,NA,0
delicata,EG2602,CL714_23,B,23,3/2/2023,0.15,7.89,5.17,20/3/2023,0.086,17,22,NA,hatched,45,alive,NA,0
delicata,EG1768,CL479_22,A,28,7/12/2022,0.121,7.78,4.7,6/1/2023,0.085,17,26,NA,hatched,30,alive,NA,0
delicata,EG2201,CL594_22,A,28,4/1/2023,0.101,7.5,4.51,3/2/2023,0.085,17,27,NA,hatched,30,alive,NA,0
delicata,EG2302,CL620_23,A,28,9/1/2023,0.114,7.39,4.58,8/2/2023,0.085,18,23,NA,hatched,30,alive,NA,0
delicata,EG1173_22,CL313_22,A,28,17/10/2022,0.149,7.91,5.35,16/11/2022,0.084,16,23,NA,hatched,30,alive,NA,0
delicata,EG2368,CL637_23,B,23,16/1/2023,0.16,6.93,5.75,3/3/2023,0.084,18,21,NA,hatched,46,alive,NA,0
delicata,EG2478,CL676_23,A,23,27/1/2023,0.108,6.79,4.84,15/3/2023,0.084,17,23,NA,hatched,47,alive,NA,0
delicata,EG2209,CL595_22,B,28,4/1/2023,0.144,7.75,5.11,3/2/2023,0.083,17,22,NA,hatched,30,alive,NA,0
delicata,EG2479,CL676_23,B,23,27/1/2023,0.112,7.05,4.84,13/3/2023,0.083,17,23,NA,hatched,45,alive,NA,0
delicata,EG2577,CL705_23,B,28,1/2/2023,0.133,7.2,5.18,6/3/2023,0.083,16,23,NA,hatched,33,alive,NA,0
delicata,EG1191_22,CL317_22,B,23,24/10/2022,0.102,6.79,4.86,16/12/2022,0.082,17,21,NA,hatched,53,alive,NA,0
delicata,EG2110,CL570_22,B,23,28/12/2022,0.103,7.27,4.55,20/2/2023,0.082,18,24,NA,hatched,54,alive,NA,0
delicata,EG2472,CL675_23,A,28,27/1/2023,0.123,6.91,5.36,27/2/2023,0.082,18,24,NA,hatched,31,alive,NA,0
delicata,EG2601,CL714_23,A,28,3/2/2023,0.137,7.31,5.04,6/3/2023,0.082,16,23,NA,hatched,31,alive,NA,0
delicata,EG2606,CL714_23,B,28,3/2/2023,0.129,7.34,5.37,3/3/2023,0.082,17,18,NA,hatched,28,alive,NA,0
delicata,EG1405,CL378_22,B,23,14/11/2022,0.128,8.11,4.89,2/1/2023,0.081,17,21,16/1/2023,hatched,49,died,14,0
delicata,EG2199,CL594_22,B,28,4/1/2023,0.105,7.96,4.11,6/2/2023,0.081,17,25,NA,hatched,33,alive,NA,0
delicata,EG2140,CL577_22,B,28,30/12/2022,0.109,7.95,4.09,30/1/2023,0.08,17,21,NA,hatched,31,alive,NA,0
delicata,EG2230,CL600_22,B,23,6/1/2023,0.136,7.96,5.18,24/2/2023,0.08,16,20,NA,hatched,49,alive,NA,0
delicata,EG2139,CL577_22,A,28,30/12/2022,0.114,8.36,4.25,30/1/2023,0.079,16,21,NA,hatched,31,alive,NA,0
delicata,EG2411,CL652_23,B,23,23/1/2023,0.147,7.62,5.49,8/3/2023,0.079,16,20,NA,hatched,44,alive,NA,0
delicata,EG2136,CL577_22,B,28,30/12/2022,0.096,6.96,4.68,30/1/2023,0.078,17,22,NA,hatched,31,alive,NA,0
delicata,EG1955,CL529_22,B,28,19/12/2022,0.132,8.58,4.75,20/1/2023,0.077,17,22,NA,hatched,32,alive,NA,0
delicata,EG2195,CL593_22,B,23,4/1/2023,0.101,6.95,4.49,24/2/2023,0.077,16,21,NA,hatched,51,alive,NA,0
delicata,EG2226,CL600_22,B,28,6/1/2023,0.131,7.2,5.31,3/2/2023,0.075,16,22,NA,hatched,28,alive,NA,0
delicata,EG1221_22,CL325_22,B,23,31/10/2022,NA,NA,NA,21/12/2022,0.074,16,22,6/1/2023,hatched,51,died,16,0
delicata,EG1964,CL532_22,B,28,19/12/2022,0.153,7.57,5.15,18/1/2023,0.064,15,18,NA,hatched,30,alive,NA,0
guichenoti,EG1317_22,CL354_22,B,28,7/11/2022,0.174,8.14,5.38,12/12/2022,0.053,16,16,12/12/2022,hatched,35,died,0,0
